Date,Description,Category,Amount,Account,Account #,Header
14/12/2017,Chevron Service Stn,Auto and Gas,-$25.75,American Express,xxxx1005,Data
13/12/2017,Texaco Service Stn,Auto and Gas,-$44.81,American Express,xxxx1005,Data
13/12/2017,AT&T,Phone,-$102.85,Visa Rewards,xxxx5345,Data
12/12/2017,"Costco Gas, Burlington",Auto and Gas,-$13.77,American Express,xxxx1005,Data
11/12/2017,"Zeitgeist Coffee, Seattle, WA",Eating Out,-$10.26,Alaska Airlines Visa,xxxx1561,Data
11/12/2017,Dropbox,Subscriptions,-$9.71,Alaska Airlines Visa,xxxx2387,Data
10/12/2017,"Storyville Coffee, Seattle, WA",Eating Out,-$11.73,Alaska Airlines Visa,xxxx2387,Data
10/12/2017,Chase Bank Mortgage,Mortgage,"-$1,903.00",Family Checking,xxxx3244,Data
10/12/2017,Paycheck,Paycheck,"$5,544.00",Family Checking,xxxx3244,Data
10/12/2017,Audible,Subscriptions,-$15.12,Visa Rewards,xxxx3827,Data
09/12/2017,North Valley Lumber,Home Improvements,-$249.68,Alaska Airlines Visa,xxxx3499,Data
08/12/2017,Itunes.com,Subscriptions,-$2.08,Visa Rewards,xxxx5345,Data
07/12/2017,"Mazama Store, Mazama",Eating Out,-$16.07,American Express,xxxx1005,Data
06/12/2017,"Trader Joe's #130, Seattle",Groceries,-$68.52,American Express,xxxx1005,Data
06/12/2017,New York Times Digital,Subscriptions,-$18.12,Visa Rewards,xxxx5345,Data
05/12/2017,Centurylink,Phone,-$24.42,Visa Rewards,xxxx5345,Data
04/12/2017,Whole Foods - Seattle WA,Groceries,-$107.76,American Express,xxxx1005,Data
03/12/2017,"Portage Bay Cafe and Cate, Seattle, WA",Eating Out,-$60.21,Alaska Airlines Visa,xxxx2387,Data
03/12/2017,Union Garage,Parking,-$25.41,Alaska Airlines Visa,xxxx2387,Data
02/12/2017,"Zoka Coffee Roa, Seattle, WA",Eating Out,-$2.52,Alaska Airlines Visa,xxxx1561,Data
02/12/2017,"Okanogan County Energy, Winthrop, WA",Utilities,-$205.44,Alaska Airlines Visa,xxxx3499,Data
